ano,VAR_EFETIVO_DOS_REBANHOS,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BELEM,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BELEM - REGIMED_ABAETETUBA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BELEM - REGIMED_BELEM,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BELEM - REGIMED_CAMETA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_MARABA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_MARABA - REGIMED_MARABA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_MARABA - REGIMED_TUCURUI,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_MARABA - REGIMED_PARAUAPEBAS,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BREVES,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BREVES - REGIMED_BREVES,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_BREVES - REGIMED_SOURESALVATERRA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_REDENCAO,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_REDENCAO - REGIMED_XINGUARA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_REDENCAO - REGIMED_REDENCAO,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_REDENCAO - REGIMED_TUCUMASAOFELIXDOXINGU,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_SANTAREM,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_SANTAREM - REGIMED_SANTAREM,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_SANTAREM - REGIMED_ITAITUBA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_SANTAREM - REGIMED_ORIXIMINA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_ALTAMIRA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_ALTAMIRA - REGIMED_ALMEIRIMPORTODEMOZ,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_ALTAMIRA - REGIMED_ALTAMIRA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_BRAGANCA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_PARAGOMINAS,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_CAPANEMA,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_CAPITAOPOCO,VAR_EFETIVO_DOS_REBANHOS - PRODUTO_BOVINO - REGINTER_CASTANHAL - REGIMED_CASTANHAL,TOTAL
2005,18113139.000002775,18113139.000004984,402264.00000889436,158906.0000025486,230300.00000032998,13058.000007059492,5606013.000000721,3189390.000007252,1268831.000001879,1147792.000001721,398584.0000072215,104812.00000219741,293772.0000032114,6672644.000001512,1559814.0000040866,2954357.0000023087,2158473.000000382,1909689.00000139,575364.000009784,964048.0000057204,370277.0000089689,1469587.0000099374,43519.00000909516,1426068.000002345,1654358.000006641,186152.0000084257,990131.0000071516,79287.00000422604,147012.00000160484,251776.0000013022,18113139.000002775
2006,17550158.000003338,17550158.00000395,412209.000005132,159250.0000025368,240958.00000440356,12001.000006390128,5102704.0000050785,2822987.0000010575,1299217.00000474,980500.0000044173,327520.00000220985,99193.00000736161,228327.0000045503,6350763.000006602,1475723.0000019455,2764071.0000042464,2110969.000006293,2082646.0000036396,601127.0000037759,1119790.0000018382,361729.0000005153,1572208.000009426,44829.000004068366,1527379.00000977,1702108.0000065782,185327.00000144582,1017914.0000012217,85548.00000698768,154739.00000846587,258580.00000698605,17550158.000003338
2007,15402711.00000769,15402711.0000049,335489.000001821,115974.0000092394,210095.00000251742,9420.000000649537,4327450.000007344,2404272.0000030617,1045278.0000022975,877900.0000046174,334820.0000046363,103742.00000894303,231078.0000092565,5582853.000009242,1269061.000006298,2381273.0000016475,1932519.0000064173,1484155.0000091936,511958.0000057631,590193.0000099996,382004.00000669865,1674934.0000001658,73308.00000913936,1601626.0000090823,1663010.0000000426,256599.00000216163,949422.0000018389,76747.00000686504,162776.00000071843,217466.00000376484,15402711.00000769
2008,16289663.000008477,16289663.000002952,413168.0000048371,156207.0000083919,246723.00000893255,10238.000007438854,4625910.000008598,2529447.0000040485,1223263.0000080697,873200.0000047284,337617.00000757084,105097.00000102218,232520.00000991335,5809755.000003881,1346004.0000046117,2185661.0000009285,2278090.0000031455,1922771.0000090732,560714.0000038071,978200.0000018498,383857.0000087582,1545080.00000911,81323.00000610655,1463757.0000059593,1635362.0000000258,243852.0000007521,928724.0000085712,74392.00000377125,162612.00000327683,225782.00000844017,16289663.000008477
2009,16905772.000009693,16905772.000001293,352550.0000034847,148367.00000857716,193434.0000027969,10749.00000500491,4668351.000000587,2608961.0000051316,1251390.0000010717,808000.0000036136,346764.0000068712,110162.00000939815,236602.0000079639,6127449.0000089845,1373233.000000042,2399007.0000050003,2355209.0000012894,2323950.0000050655,595000.000007645,1365699.0000041553,363251.0000045001,1579377.0000070606,85870.00000697143,1493507.000002871,1507331.000009537,234944.0000022675,809007.0000066747,79167.00000111661,161448.0000048852,222765.0000020132,16905772.000009693
2010,17682796.00000745,17682796.000009418,325047.00000058,129851.00000489247,183910.00000258986,11286.00000784286,5112446.000002017,2787106.0000060173,1476340.0000045674,849000.0000018888,356289.00000367203,118589.00000597103,237700.00000629478,6557715.000007085,1482213.0000032892,2603449.000005463,2472053.000003691,2275802.0000054515,632054.0000097,1279644.0000076096,364104.0000084792,1632190.000000026,90163.00000919834,1542027.0000082725,1423307.000008287,225541.00000604452,739727.0000096342,69835.00000733441,145854.0000014378,242350.00000507256,17682796.00000745
2011,18313487.000003565,18313487.00000681,311348.00000573305,129171.00000316274,170328.00000633037,11849.000006470234,5285937.000007433,2907207.0000008037,1538730.0000048883,840000.0000033361,368931.000007969,125848.0000023339,243083.0000079522,6861169.000001045,1523150.000004392,2770926.000002575,2567093.000008784,2300354.000002724,625366.0000098177,1332327.0000095342,342661.00000969716,1789957.0000085556,94403.00000628777,1695554.000000589,1395791.000000084,228442.00000178613,705764.0000025014,73838.00000863033,153544.00000189745,234203.00000710966,18313487.000003565
2012,18648332.000000622,18648332.000009444,303589.00000672066,138556.000005531,161701.00000052596,3332.000005525728,5242137.000007792,2797038.0000006384,1697099.000000012,748000.0000008257,324410.0000007894,129246.00000510352,195164.00000321338,7013604.000004846,1522145.0000019989,2870283.0000031693,2621176.000008932,2422813.0000044657,660989.0000051246,1384940.0000000575,376884.0000062293,1881178.0000067644,97234.00000666291,1783944.000007238,1460601.0000005239,244996.00000440722,752327.0000029072,77849.00000071185,157310.00000401918,228119.00000980395,18648332.000000622
2013,19171282.000009146,19171282.000006944,214447.0000028843,53101.00000296187,158541.00000384764,2805.0000034911473,5504492.000008632,2843676.0000060247,1869816.0000070853,791000.0000019321,258167.0000091469,93077.00000244992,165090.00000012247,7289704.000000703,1505193.0000078378,3032854.0000013625,2751657.000008174,2447394.0000019725,655220.0000066353,1402535.0000073335,389639.0000062676,1949366.000006835,45590.0000090449,1903776.0000030107,1507712.00000577,250864.0000017152,751008.0000051318,80563.00000215847,161688.00000007392,263589.0000023804,19171282.000009146
2014,19952512.000002474,19952512.000005823,292744.0000080004,130474.00000418868,159481.00000798338,2789.0000073277247,6128293.000003548,3233995.000003043,2048298.0000089281,846000.0000075819,306483.0000064673,99314.0000036205,207169.00000011188,7311041.000005003,1581904.0000008824,3040568.000006079,2688569.0000075526,2430736.000004863,692600.0000030651,1358505.0000079335,379631.0000099654,1958386.000003047,74154.00000044188,1884232.000003321,1524829.0000064373,249889.0000083072,752339.0000071944,78739.00000564284,180356.00000776042,263506.00000884454,19952512.000002474
